"","ds_id","auth_id","timestamp"
"109","doi:10.7281/T1/KOSYGQ","51",2017-06-29 12:50:41
"110","doi:10.7281/T14Q7RW8","52",2016-07-14
"111","doi:10.7281/T1/I3ILXO","53",2020-04-17 15:29:44
"112","doi:10.7281/T1F769G3","0000-0003-0075-5406",2023-03-16 15:12:56
"113","doi:10.7281/T1/CZZDLJ","0000-0002-3376-5494",2017-06-22 13:24:47
"114","doi:10.7281/T1/CRHEAH","0000-0002-3376-5494",2020-08-24 19:08:33
"115","doi:10.7281/T1/VCPZIK","0000-0002-3376-5494",2021-08-05 21:44:39
"116","doi:10.7281/T1/C8BCOW","0000-0002-3376-5494",2024-02-27 14:23:24
"117","doi:10.7281/T1/9VJGPI","0000-0002-1120-1778",2023-09-05 16:08:55
"118","doi:10.7281/T1/PIVKJ7","0000-0003-1327-5372",2023-11-16 15:58:05
"119","doi:10.7281/T1/OTISGL","54",2023-09-25 20:25:14
"120","doi:10.7281/T1/VNFY91","0000-0003-2562-5683",2023-09-15 19:41:39
"121","doi:10.7281/T1/VZZOJB","0000-0003-2562-5683",2021-03-02 14:37:44
"122","doi:10.7281/T1/EHSEV2","0000-0003-2562-5683",2023-04-03 14:00:46
"123","doi:10.7281/T1/SWNGEP","55",2021-05-07 14:09:25
"124","doi:10.7281/T1/2DKJB2","56",2023-06-15 19:41:02
"125","doi:10.7281/T1/NLHSKE","0000-0001-8892-9567",2023-06-02 12:54:10
"126","doi:10.7281/T1/XFNORD","0009-0001-3109-0796",2023-12-21 14:34:36
"127","doi:10.7281/T1F769G3","57",2023-03-16 15:12:56
"128","doi:10.7281/T19G5JRC","58",2015-10-22
"129","doi:10.7281/T1/EP0W7Y","0000-0002-9953-7347",2020-10-28 17:40:02
"130","doi:10.7281/T1/FTCWPF","59",2020-04-22 16:05:42
"131","doi:10.7281/T1/6Y08LS","0000-0002-7034-4621",2018-08-22 19:06:03
"132","doi:10.7281/T1/VZYIRV","0000-0003-4381-8673",2023-04-17 20:12:24
"133","doi:10.7281/T1/OSQSMY","0000-0002-9616-1946",2018-08-17 13:15:49
"134","doi:10.7281/T1/IRMGH8","60",2024-02-28 12:19:18
"135","doi:10.7281/T1RN35S8","0000-0002-2006-332X",2015-08-25
"136","doi:10.7281/T1/ORP47N","61",2023-10-12 20:05:53
"137","doi:10.7281/T1/U5GUV3","0000-0002-6179-2692",2023-08-16 16:21:51
"138","doi:10.7281/T1/BCARLC","62",2020-10-12 21:05:06
"139","doi:10.7281/T1/0HWVS1","0000-0002-2249-3067",2024-06-28 14:02:28
"140","doi:10.7281/T1/T3SA2Z","63",2020-04-13 21:12:23
"141","doi:10.7281/T1/SWU4P8","64",2023-08-08 17:47:21
"142","doi:10.7281/T1MW2F2Z","65",2015-08-25
"143","doi:10.7281/T1/UMDMQK","66",2019-05-30 19:51:49
"144","doi:10.7281/T1/EM61IB","67",2019-05-30 19:52:02
"145","doi:10.7281/T1/XOL4BR","68",2024-05-31 15:26:52
"146","doi:10.7281/T1/YC5BS6","69",2023-10-18 17:06:58
"147","doi:10.7281/T1/CLTDND","70",2019-06-26 17:45:57
"148","doi:10.7281/T1/FPN6MI","71",2023-08-03 20:18:29
"149","doi:10.7281/T1/2DKJB2","0000-0003-3236-3853",2023-06-15 19:41:02
"150","doi:10.7281/T1/ORP47N","72",2023-10-12 20:05:53
"151","doi:10.7281/T1/FPN6MI","73",2023-08-03 20:18:29
